dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.311461,11.244089,0.000651,0.065063,3.253150,162.657499,0.020546
0.020000,0.311340,11.244087,0.000772,0.006062,-2.950048,-310.159922,0.020654
0.020000,0.311098,11.244082,0.001014,0.012119,0.302859,162.645351,0.020870
0.020000,0.310734,11.244074,0.001378,0.018167,0.302372,-0.024306,0.021192
0.020000,0.318702,11.244245,0.009347,0.398490,19.016181,935.690414,0.021623
0.020000,0.331108,11.244517,0.021756,0.620411,11.096026,-396.007746,0.022160
0.020000,0.345995,11.244852,0.036646,0.744544,6.206683,-244.467124,0.022804
0.020000,0.363364,11.245254,0.054021,0.868711,6.208316,0.081632,0.023553
0.020000,0.383217,11.245730,0.073879,0.992910,6.209946,0.081494,0.024408
0.020000,0.405553,11.246286,0.096222,1.117141,6.211585,0.081944,0.025368
0.020000,0.430373,11.246929,0.121050,1.241406,6.213246,0.083055,0.026432
0.020000,0.457677,11.247667,0.148365,1.365739,6.216654,0.170401,0.027599
0.020000,0.487468,11.248509,0.178167,1.490104,6.218229,0.078783,0.028869
0.020000,0.519744,11.249463,0.210457,1.614535,6.221546,0.165823,0.030240
0.020000,0.554508,11.250540,0.245238,1.739032,6.224873,0.166367,0.031710
0.020000,0.591760,11.251751,0.282510,1.863597,6.228233,0.167964,0.033280
0.020000,0.631502,11.253107,0.322275,1.988230,6.231646,0.170666,0.034947
0.020000,0.673733,11.254621,0.364533,2.112933,6.235136,0.174521,0.036711
0.020000,0.718456,11.256305,0.409288,2.237738,6.240280,0.257171,0.038569
0.020000,0.765672,11.258173,0.456540,2.362614,6.243770,0.174506,0.040521
0.020000,0.815381,11.260240,0.506292,2.487591,6.248885,0.255779,0.042564
0.020000,0.867584,11.262519,0.558546,2.612672,6.254058,0.258610,0.044697
0.020000,0.922284,11.265026,0.613303,2.737859,6.259316,0.262920,0.046918
0.020000,0.979481,11.267778,0.670566,2.863153,6.264690,0.268716,0.049224
0.020000,1.039176,11.270790,0.730337,2.988557,6.270210,0.276002,0.051615
0.020000,1.101371,11.274081,0.792619,3.114103,6.277304,0.354695,0.054087
0.020000,1.166067,11.277666,0.857414,3.239760,6.282863,0.277951,0.056638
0.020000,1.233265,11.281565,0.924725,3.365559,6.289942,0.353950,0.059266
0.020000,1.302967,11.285795,0.994555,3.491502,6.297135,0.359654,0.061969
0.020000,1.375174,11.290376,1.066907,3.617591,6.304477,0.367076,0.064743
0.020000,1.449887,11.295327,1.141784,3.743831,6.312000,0.376170,0.067587
0.020000,1.527107,11.300667,1.219188,3.870228,6.319852,0.392594,0.070497
0.020000,1.606836,11.306417,1.299124,3.996803,6.328730,0.443874,0.073470
0.020000,1.689075,11.312595,1.381595,4.123539,6.336828,0.404906,0.076503
0.020000,1.773825,11.319224,1.466604,4.250457,6.345890,0.453097,0.079593
0.020000,1.861088,11.326322,1.554156,4.377562,6.355236,0.467300,0.082737
0.020000,1.950865,11.333912,1.644253,4.504858,6.364786,0.477521,0.085931
0.020000,2.043157,11.342013,1.736900,4.632349,6.374573,0.489363,0.089172
0.020000,2.137966,11.350647,1.832101,4.760048,6.384928,0.517751,0.092456
0.020000,2.235292,11.359835,1.929860,4.887955,6.395362,0.521684,0.095780
0.020000,2.335138,11.369597,2.030181,5.016081,6.406322,0.548018,0.099139
0.020000,2.437504,11.379955,2.133070,5.144428,6.417331,0.550406,0.102530
0.020000,2.542391,11.390929,2.238530,5.273005,6.428850,0.575979,0.105949
0.020000,2.649802,11.402539,2.346566,5.401817,6.440611,0.588041,0.109390
0.020000,2.759737,11.414806,2.457184,5.530870,6.452660,0.602439,0.112851
0.020000,2.872198,11.427750,2.570387,5.660175,6.465212,0.627601,0.116327
0.020000,2.987186,11.441391,2.686182,5.789728,6.477645,0.621656,0.119812
0.020000,3.104703,11.455748,2.804573,5.919543,6.490765,0.655992,0.123303
0.020000,3.224751,11.470839,2.925565,6.049623,6.503983,0.660918,0.126795
0.020000,3.347331,11.486683,3.049165,6.179972,6.517498,0.675729,0.130283
0.020000,3.472444,11.503299,3.175377,6.310599,6.531324,0.691338,0.133762
0.020000,3.600093,11.520702,3.304207,6.441508,6.545440,0.705787,0.137227
0.020000,3.730280,11.538910,3.435661,6.572703,6.559760,0.715982,0.140674
0.020000,3.863007,11.557938,3.569745,6.704191,6.574394,0.731696,0.144095
0.020000,3.998276,11.577801,3.706464,6.835976,6.589275,0.744073,0.147488
0.020000,4.136090,11.598513,3.845826,6.968064,6.604402,0.756329,0.150845
0.020000,4.276450,11.620088,3.987835,7.100460,6.619766,0.768203,0.154163
0.020000,4.419361,11.642536,4.132498,7.233167,6.635383,0.780841,0.157434
0.020000,4.564826,11.665870,4.279822,7.366193,6.651263,0.794017,0.160654
0.020000,4.712847,11.690099,4.429813,7.499539,6.667332,0.803458,0.163816
0.020000,4.863428,11.715231,4.582477,7.633212,6.683657,0.816223,0.166916
0.020000,5.016574,11.741273,4.737821,7.767216,6.700165,0.825424,0.169946
0.020000,5.172288,11.768233,4.895852,7.901555,6.716983,0.840915,0.172902
0.020000,5.330576,11.796114,5.056577,8.036235,6.733959,0.848802,0.175777
0.020000,5.491443,11.824918,5.220002,8.171258,6.751183,0.861165,0.178564
0.020000,5.654894,11.854648,5.386135,8.306630,6.768590,0.870362,0.181259
0.020000,5.820935,11.885303,5.554982,8.442354,6.786204,0.880682,0.183853
0.020000,5.989572,11.916882,5.726551,8.578437,6.804162,0.897900,0.186342
0.020000,6.160814,11.949379,5.900848,8.714882,6.822244,0.904100,0.188719
0.020000,6.334666,11.982789,6.077882,8.851692,6.840481,0.911880,0.190977
0.020000,6.511139,12.017104,6.257660,8.988874,6.859110,0.931436,0.193109
0.020000,6.690239,12.052315,6.440188,9.126431,6.877827,0.935870,0.195109
0.020000,6.871977,12.088409,6.625476,9.264369,6.896912,0.954226,0.196971
0.020000,7.056362,12.125372,6.813529,9.402694,6.916243,0.966558,0.198686
0.020000,7.243406,12.163187,7.004358,9.541406,6.935609,0.968307,0.200249
0.020000,7.433120,12.201835,7.197968,9.680517,6.955535,0.996294,0.201652
0.020000,7.625516,12.241294,7.394368,9.820028,6.975562,1.001349,0.202889
0.020000,7.820607,12.281539,7.593567,9.959946,6.995896,1.016725,0.203951
0.020000,8.018407,12.322544,7.795573,10.100277,7.016543,1.032329,0.204832
0.020000,8.218930,12.364277,8.000393,10.241027,7.037499,1.047793,0.205524
0.020000,8.422193,12.406707,8.208037,10.382201,7.058719,1.061004,0.206020
0.020000,8.628211,12.449797,8.418514,10.523808,7.080347,1.081408,0.206311
0.020000,8.837002,12.493507,8.631831,10.665853,7.102244,1.094866,0.206391
0.020000,9.047936,12.537660,8.847337,10.775298,5.472281,-81.498162,0.206252
0.020000,9.259107,12.581807,9.063072,10.786774,0.573807,-244.923725,0.205891
0.020000,9.468614,12.625504,9.277088,10.700776,-4.299935,-243.687098,0.205317
0.020000,9.675829,12.668576,9.488732,10.582232,-5.927182,-81.362320,0.204536
0.020000,9.880752,12.710984,9.697997,10.463254,-5.948887,-1.085271,0.203557
0.020000,10.083382,12.752690,9.904874,10.343846,-5.970401,-1.075709,0.202388
0.020000,10.283715,12.793660,10.109355,10.224016,-5.991524,-1.056148,0.201036
0.020000,10.481751,12.833863,10.311430,10.103769,-6.012333,-1.040446,0.199508
0.020000,10.677486,12.873270,10.511092,9.983111,-6.032901,-1.028412,0.197811
0.020000,10.870916,12.911856,10.708333,9.862047,-6.053186,-1.014222,0.195954
0.020000,11.062037,12.949597,10.903145,9.740582,-6.073273,-1.004334,0.193942
0.020000,11.250844,12.986472,11.095519,9.618721,-6.093047,-0.988722,0.191784
0.020000,11.437332,13.022463,11.285449,9.496470,-6.112561,-0.975716,0.189486
0.020000,11.621495,13.057553,11.472925,9.373833,-6.131848,-0.964342,0.187054
0.020000,11.803328,13.091730,11.657942,9.250813,-6.150984,-0.956786,0.184496
