dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.134000,24.891000,0.000652,0.065186,3.259281,162.964036,6.283076
0.020000,0.134000,24.891000,0.003259,0.195557,6.518561,162.964036,6.283104
0.020000,0.134000,24.891000,0.008474,0.325928,6.518561,0.000000,6.283159
0.020000,0.139275,24.891000,0.016296,0.456299,6.518561,0.000000,0.000055
0.020000,0.149705,24.891001,0.026726,0.586671,6.518561,0.000000,0.000162
0.020000,0.162742,24.891004,0.039763,0.717042,6.518561,-0.000000,0.000294
0.020000,0.178386,24.891010,0.055408,0.847413,6.518561,0.000000,0.000450
0.020000,0.196638,24.891020,0.073660,0.977784,6.518561,0.000000,0.000628
0.020000,0.217498,24.891035,0.094519,1.108155,6.518561,-0.000000,0.000826
0.020000,0.240964,24.891057,0.117986,1.238527,6.518561,0.000000,0.001042
0.020000,0.267039,24.891087,0.144060,1.368898,6.518561,0.000000,0.001274
0.020000,0.295720,24.891127,0.172742,1.499269,6.518561,-0.000000,0.001519
0.020000,0.327009,24.891179,0.204031,1.629640,6.518561,0.000000,0.001775
0.020000,0.360906,24.891244,0.237927,1.760012,6.518561,0.000000,0.002037
0.020000,0.397410,24.891323,0.274431,1.890383,6.518561,0.000000,0.002304
0.020000,0.436521,24.891418,0.313543,2.020754,6.518561,-0.000000,0.002570
0.020000,0.478240,24.891531,0.355262,2.151125,6.518561,0.000000,0.002833
0.020000,0.522566,24.891662,0.399588,2.281497,6.518561,-0.000000,0.003088
0.020000,0.569499,24.891813,0.446521,2.411868,6.518561,0.000000,0.003331
0.020000,0.619040,24.891984,0.496063,2.542239,6.518561,0.000000,0.003557
0.020000,0.671188,24.892175,0.548211,2.672610,6.518561,-0.000000,0.003762
0.020000,0.725944,24.892386,0.602967,2.802981,6.518561,0.000000,0.003939
0.020000,0.783306,24.892616,0.660330,2.933353,6.518561,0.000000,0.004084
0.020000,0.843277,24.892865,0.720301,3.063724,6.518561,-0.000000,0.004191
0.020000,0.905854,24.893129,0.782879,3.194095,6.518561,0.000000,0.004254
0.020000,0.971039,24.893407,0.848065,3.324466,6.518561,0.000000,0.004267
0.020000,1.038832,24.893695,0.915858,3.454838,6.518561,-0.000000,0.004223
0.020000,1.109232,24.893989,0.986258,3.585209,6.518561,0.000000,0.004116
