dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.133878,23.766000,0.000652,0.065193,3.259671,162.983531,6.283076
0.020000,0.133909,23.766000,0.000683,0.001547,-3.182344,-322.100749,6.283104
0.020000,0.133970,23.766000,0.000744,0.003078,0.076593,162.946893,6.283159
0.020000,0.139339,23.766000,0.006113,0.268426,13.267369,659.538799,0.000055
0.020000,0.149890,23.766001,0.016665,0.527587,12.958050,-15.465950,0.000162
0.020000,0.163078,23.766004,0.029852,0.659373,6.589332,-318.435948,0.000294
0.020000,0.178900,23.766010,0.045674,0.791088,6.585730,-0.180069,0.000450
0.020000,0.197354,23.766020,0.064128,0.922711,6.581140,-0.229517,0.000628
0.020000,0.218438,23.766036,0.085213,1.054235,6.576191,-0.247428,0.000826
0.020000,0.242151,23.766058,0.108926,1.185641,6.570302,-0.294464,0.001042
0.020000,0.268490,23.766088,0.135264,1.316915,6.563728,-0.328706,0.001274
0.020000,0.297450,23.766129,0.164225,1.448041,6.556304,-0.371175,0.001519
0.020000,0.329030,23.766181,0.195805,1.579009,6.548389,-0.395784,0.001775
0.020000,0.363226,23.766246,0.230001,1.709801,6.539603,-0.439278,0.002037
0.020000,0.400034,23.766326,0.266809,1.840404,6.530144,-0.472938,0.002304
0.020000,0.439450,23.766422,0.306225,1.970801,6.519840,-0.515237,0.002571
0.020000,0.481470,23.766536,0.348245,2.100982,6.509034,-0.540255,0.002833
0.020000,0.526088,23.766668,0.392863,2.230928,6.497325,-0.585493,0.003089
0.020000,0.573300,23.766820,0.440076,2.360627,6.484970,-0.617724,0.003332
0.020000,0.623102,23.766991,0.489877,2.490066,6.471940,-0.651485,0.003558
0.020000,0.675486,23.767183,0.542262,2.619227,6.458029,-0.695575,0.003762
0.020000,0.730447,23.767395,0.597224,2.748099,6.443591,-0.721920,0.003939
0.020000,0.787980,23.767626,0.654757,2.876665,6.428325,-0.763300,0.004084
0.020000,0.848078,23.767875,0.714855,3.004912,6.412321,-0.800160,0.004191
0.020000,0.910734,23.768140,0.777512,3.132824,6.395643,-0.833925,0.004254
0.020000,0.975941,23.768418,0.842719,3.260388,6.378178,-0.873237,0.004267
0.020000,1.043692,23.768706,0.910471,3.387588,6.360005,-0.908647,0.004223
0.020000,1.113980,23.768999,0.980759,3.514410,6.341086,-0.945982,0.004116
0.020000,1.186796,23.769293,1.053576,3.640837,6.321362,-0.986182,0.003938
0.020000,1.262132,23.769580,1.128913,3.766856,6.300949,-1.020658,0.003683
0.020000,1.339981,23.769854,1.206762,3.892450,6.279692,-1.062835,0.003342
0.020000,1.420333,23.770106,1.287114,4.017605,6.257736,-1.097795,0.002909
0.020000,1.503178,23.770325,1.369960,4.142301,6.234801,-1.146767,0.002374
0.020000,1.588509,23.770501,1.455291,4.266526,6.211280,-1.176030,0.001730
0.020000,1.676314,23.770620,1.543096,4.390260,6.186713,-1.228381,0.000967
0.020000,1.766584,23.770668,1.633366,4.513488,6.161363,-1.267480,0.000077
0.020000,1.859307,23.770629,1.726090,4.636194,6.135315,-1.302377,6.282236
0.020000,1.954474,23.770483,1.821257,4.758354,6.107991,-1.366220,6.281064
0.020000,2.052073,23.770213,1.918856,4.879955,6.080040,-1.397569,6.279735
0.020000,2.152092,23.769794,2.018875,5.000975,6.051044,-1.449809,6.278240
0.020000,2.254518,23.769203,2.121303,5.121394,6.020906,-1.506881,6.276567
0.020000,2.359339,23.768413,2.226127,5.241198,5.990243,-1.533163,6.274706
0.020000,2.466541,23.767395,2.333334,5.360357,5.957905,-1.616874,6.272646
0.020000,2.576111,23.766117,2.442911,5.478852,5.924776,-1.656444,6.270374
0.020000,2.688033,23.764545,2.554845,5.596667,5.890750,-1.701335,6.267879
0.020000,2.802293,23.762642,2.669120,5.713767,5.855000,-1.787462,6.265148
0.020000,2.918873,23.760367,2.785723,5.830143,5.818808,-1.809629,6.262168
0.020000,3.037758,23.757677,2.904638,5.945760,5.780832,-1.898782,6.258925
0.020000,3.158929,23.754526,3.025850,6.060598,5.741897,-1.946736,6.255405
0.020000,3.282367,23.750863,3.149343,6.174624,5.701295,-2.030099,6.251595
0.020000,3.408052,23.746634,3.275099,6.287822,5.659899,-2.069817,6.247479
0.020000,3.535964,23.741784,3.403102,6.400164,5.617089,-2.140493,6.243042
0.020000,3.666078,23.736250,3.533335,6.511617,5.572655,-2.221734,6.238269
0.020000,3.798373,23.729967,3.665778,6.622158,5.527064,-2.279543,6.233143
0.020000,3.932820,23.722866,3.800413,6.731762,5.480207,-2.342838,6.227648
0.020000,4.069395,23.714874,3.937221,6.840405,5.432163,-2.402191,6.221766
0.020000,4.208067,23.705912,4.076182,6.948056,5.382556,-2.480344,6.215480
0.020000,4.348805,23.695898,4.217276,7.054699,5.332135,-2.521069,6.208772
0.020000,4.491576,23.684745,4.360482,7.160306,5.280341,-2.589683,6.201623
0.020000,4.636345,23.672361,4.505780,7.264863,5.227861,-2.624028,6.194015
0.020000,4.783072,23.658649,4.653147,7.368349,5.174279,-2.679065,6.185929
0.020000,4.931718,23.643507,4.802562,7.470762,5.120671,-2.680394,6.177346
0.020000,5.082239,23.626828,4.954003,7.572084,5.066070,-2.730087,6.168246
0.020000,5.234587,23.608501,5.107450,7.672321,5.011887,-2.709137,6.158610
0.020000,5.388712,23.588409,5.262879,7.771479,4.957875,-2.700599,6.148419
0.020000,5.544561,23.566428,5.420271,7.869581,4.905101,-2.638675,6.137654
0.020000,5.702077,23.542433,5.579604,7.966642,4.853059,-2.602121,6.126297
0.020000,5.861198,23.516292,5.740858,8.062708,4.803304,-2.487731,6.114329
0.020000,6.021860,23.487867,5.904015,8.157833,4.756263,-2.352070,6.101735
0.020000,6.183992,23.457017,6.069056,8.252083,4.712491,-2.188626,6.088499
0.020000,6.347523,23.423597,6.235967,8.345547,4.673204,-1.964318,6.074606
0.020000,6.512375,23.387456,6.404734,8.438330,4.639157,-1.702337,6.060045
0.020000,6.678465,23.348442,6.575345,8.530559,4.611429,-1.386410,6.044806
0.020000,6.845709,23.306396,6.747793,8.622390,4.591566,-0.993149,6.028881
0.020000,7.014016,23.261160,6.922073,8.713990,4.579977,-0.579480,6.012267
0.020000,7.183291,23.212571,7.098184,8.805567,4.578836,-0.057047,5.994964
0.020000,7.353438,23.160464,7.276131,8.897334,4.588390,0.477737,5.976974
0.020000,7.524355,23.104675,7.455922,8.989560,4.611271,1.144014,5.958305
0.020000,7.695936,23.045039,7.637572,9.082498,4.646909,1.781935,5.938972
0.020000,7.868075,22.981389,7.821101,9.176455,4.697870,2.548011,5.918990
0.020000,8.040659,22.913562,8.006536,9.271730,4.763748,3.293915,5.898385
0.020000,8.213577,22.841395,8.193909,9.368650,4.846003,4.112761,5.877185
0.020000,8.386713,22.764729,8.383260,9.467549,4.944909,4.945292,5.855425
0.020000,8.559951,22.683410,8.574634,9.568700,5.057579,5.633497,5.833146
0.020000,8.733172,22.597286,8.768084,9.672504,5.190172,6.629651,5.810394
0.020000,8.906258,22.506213,8.963667,9.779188,5.334233,7.203050,5.787221
0.020000,9.079088,22.410053,9.161448,9.889017,5.491429,7.859782,5.763683
0.020000,9.251545,22.308678,9.361493,10.002267,5.662517,8.554406,5.739841
0.020000,9.423507,22.201967,9.563875,10.119098,5.841557,8.952001,5.715757
0.020000,9.594857,22.089809,9.768668,10.239649,6.027525,9.298436,5.691499
0.020000,9.765477,21.972106,9.975948,10.364001,6.217619,9.504692,5.667134
