dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.656000,11.389000,0.000650,0.065043,3.252150,162.607525,4.713855
0.020000,21.656000,11.389000,0.003252,0.195129,6.504301,162.607525,4.713565
0.020000,21.656000,11.389000,0.008456,0.325215,6.504301,0.000000,4.712985
0.020000,21.656000,11.386531,0.016261,0.455301,6.504301,-0.000000,4.712113
0.020000,21.655991,11.376125,0.026668,0.585387,6.504301,0.000000,4.710948
0.020000,21.655962,11.363116,0.039676,0.715473,6.504301,-0.000000,4.709488
0.020000,21.655903,11.347507,0.055287,0.845559,6.504301,0.000000,4.707728
0.020000,21.655800,11.329292,0.073499,0.975645,6.504301,-0.000000,4.705665
0.020000,21.655635,11.308481,0.094312,1.105731,6.504301,0.000000,4.703294
0.020000,21.655391,11.285065,0.117728,1.235817,6.504301,0.000000,4.700610
0.020000,21.655045,11.259050,0.143745,1.365903,6.504301,0.000000,4.697608
0.020000,21.654575,11.230435,0.172364,1.495989,6.504301,0.000000,4.694280
0.020000,21.653953,11.199222,0.203585,1.626075,6.504301,-0.000000,4.690620
0.020000,21.653149,11.165408,0.237407,1.756161,6.504301,-0.000000,4.686617
0.020000,21.652131,11.128999,0.273831,1.886247,6.504301,0.000000,4.682265
0.020000,21.650864,11.089995,0.312857,2.016333,6.504301,0.000000,4.677552
0.020000,21.649308,11.048395,0.354484,2.146419,6.504301,-0.000000,4.672468
0.020000,21.647423,11.004206,0.398714,2.276505,6.504301,0.000000,4.667000
0.020000,21.645161,10.957431,0.445545,2.406591,6.504301,-0.000000,4.661138
0.020000,21.642474,10.908072,0.494977,2.536677,6.504301,0.000000,4.654866
0.020000,21.639309,10.856134,0.547012,2.666763,6.504301,-0.000000,4.648170
0.020000,21.635609,10.801623,0.601648,2.796849,6.504301,0.000000,4.641034
0.020000,21.631312,10.744545,0.658886,2.926935,6.504301,0.000000,4.633441
0.020000,21.626353,10.684912,0.718725,3.057021,6.504301,0.000000,4.625374
