dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.316767,13.406003,0.000654,0.065402,3.270119,163.505968,3.144052
0.020000,18.316356,13.406002,0.001065,0.020556,-2.242320,-275.621985,3.143687
0.020000,18.315533,13.406001,0.001888,0.041148,1.029600,163.596001,3.142955
0.020000,18.314297,13.406000,0.003124,0.061812,1.033203,0.180174,3.141856
0.020000,18.304052,13.406006,0.013369,0.512209,22.519853,1074.332506,3.140386
0.020000,18.288900,13.406038,0.028521,0.757630,12.271053,-512.440009,3.138542
0.020000,18.270703,13.406114,0.046718,0.909868,7.611874,-232.958979,3.136317
0.020000,18.249450,13.406254,0.067972,1.062673,7.640255,1.419064,3.133703
0.020000,18.225132,13.406482,0.092290,1.215914,7.662075,1.091025,3.130693
0.020000,18.197745,13.406828,0.119679,1.369461,7.677331,0.762798,3.127277
0.020000,18.167286,13.407322,0.150143,1.523182,7.686052,0.436014,3.123447
0.020000,18.133716,13.408003,0.183719,1.678809,7.781367,4.765793,3.119186
0.020000,18.097046,13.408910,0.220401,1.834100,7.764540,-0.841387,3.114485
0.020000,18.057252,13.410092,0.260213,1.990566,7.823320,2.939006,3.109327
0.020000,18.014317,13.411599,0.303174,2.148074,7.875365,2.602283,3.103695
0.020000,17.968226,13.413487,0.349304,2.306487,7.920653,2.264378,3.097572
0.020000,17.918963,13.415820,0.398622,2.465887,7.969994,2.467031,3.090937
0.020000,17.866497,13.418669,0.451165,2.627195,8.065425,4.771573,3.083766
0.020000,17.810819,13.422107,0.506950,2.789204,8.100460,1.751729,3.076038
0.020000,17.751905,13.426220,0.566006,2.952837,8.181621,4.058062,3.067726
0.020000,17.689733,13.431099,0.628369,3.118160,8.266174,4.227674,3.058800
0.020000,17.624284,13.436845,0.694070,3.285026,8.343279,3.855239,3.049232
0.020000,17.555531,13.443567,0.763151,3.454063,8.451871,5.429572,3.038986
0.020000,17.483461,13.451386,0.835644,3.624640,8.528848,3.848891,3.028028
0.020000,17.408041,13.460434,0.911605,3.798025,8.669249,7.020041,3.016319
0.020000,17.329265,13.470854,0.991067,3.973100,8.753751,4.225080,3.003819
0.020000,17.247106,13.482802,1.074090,4.151164,8.903177,7.471309,2.990484
0.020000,17.161564,13.496448,1.160713,4.331182,9.000932,4.887725,2.976270
0.020000,17.072623,13.511978,1.251001,4.514351,9.158446,7.875740,2.961127
0.020000,16.980287,13.529592,1.345001,4.700039,9.284371,6.296228,2.945007
0.020000,16.884564,13.549507,1.442774,4.888644,9.430238,7.293347,2.927858
0.020000,16.785468,13.571960,1.544382,5.080393,9.587471,7.861653,2.909627
0.020000,16.683037,13.597202,1.649878,5.274792,9.719962,6.624551,2.890262
0.020000,16.577310,13.625506,1.759328,5.472500,9.885391,8.271475,2.869710
0.020000,16.468356,13.657159,1.872786,5.672917,10.020826,6.771739,2.847922
0.020000,16.356272,13.692465,1.990299,5.875641,10.136208,5.769106,2.824854
0.020000,16.241176,13.731746,2.111914,6.080762,10.256054,5.992299,2.800464
0.020000,16.123221,13.775333,2.237665,6.287522,10.337990,4.096788,2.774723
0.020000,16.002599,13.823564,2.367572,6.495377,10.392786,2.739783,2.747610
0.020000,15.879537,13.876786,2.501650,6.703875,10.424885,1.604952,2.719118
0.020000,15.754321,13.935333,2.639877,6.911375,10.374987,-2.494898,2.689261
0.020000,15.627278,13.999529,2.782218,7.117036,10.283053,-4.596708,2.658072
0.020000,15.498787,14.069679,2.928611,7.319656,10.130987,-7.603264,2.625607
0.020000,15.369280,14.146045,3.078957,7.517292,9.881828,-12.457955,2.591953
0.020000,15.239234,14.228850,3.233127,7.708529,9.561852,-15.998827,2.557223
0.020000,15.109161,14.318257,3.390965,7.891868,9.166958,-19.744659,2.521560
0.020000,14.979610,14.414363,3.552271,8.065325,8.672861,-24.704884,2.485137
0.020000,14.851138,14.517188,3.716826,8.227715,8.119455,-27.670309,2.448153
0.020000,14.724306,14.626676,3.884379,8.377646,7.496562,-31.144638,2.410828
0.020000,14.599654,14.742691,4.054665,8.514342,6.834806,-33.087814,2.373398
0.020000,14.477690,14.865024,4.227410,8.637231,6.144432,-34.518658,2.336109
0.020000,14.358865,14.993399,4.402337,8.746339,5.455414,-34.450919,2.299206
0.020000,14.243570,15.127488,4.579178,8.842066,4.786369,-33.452264,2.262926
0.020000,14.132120,15.266925,4.757682,8.925213,4.157335,-31.451682,2.227494
0.020000,14.024749,15.411319,4.937622,8.996964,3.587556,-28.488978,2.193113
0.020000,13.921612,15.560271,5.118795,9.058686,3.086102,-25.072681,2.159960
0.020000,13.822789,15.713388,5.301034,9.111911,2.661264,-21.241885,2.128187
0.020000,13.728286,15.870290,5.484198,9.158233,2.316100,-17.258228,2.097917
0.020000,13.638046,16.030623,5.668181,9.199117,2.044193,-13.595343,2.069245
0.020000,13.551961,16.194057,5.852901,9.236015,1.844869,-9.966208,2.042244
0.020000,13.469876,16.360298,6.038303,9.270105,1.704497,-7.018583,2.016963
0.020000,13.391599,16.529080,6.224353,9.302505,1.620003,-4.224716,1.993432
0.020000,13.316914,16.700169,6.411033,9.333977,1.573620,-2.319136,1.971667
0.020000,13.245578,16.873356,6.598336,9.365164,1.559353,-0.713366,1.951674
0.020000,13.177337,17.048458,6.786266,9.396510,1.567309,0.397839,1.933449
0.020000,13.111923,17.225314,6.974832,9.428275,1.588216,1.045343,1.916986
0.020000,13.049059,17.403774,7.164040,9.460421,1.607315,0.954946,1.902277
0.020000,12.988461,17.583706,7.353902,9.493116,1.634773,1.372878,1.889313
0.020000,12.929842,17.764982,7.544421,9.525913,1.639840,0.253370,1.878090
0.020000,12.872907,17.947481,7.735594,9.558692,1.638926,-0.045712,1.868611
0.020000,12.817357,18.131080,7.927413,9.590939,1.612365,-1.328041,1.860885
0.020000,12.762889,18.315654,8.119856,9.622138,1.559972,-2.619660,1.854929
0.020000,12.709190,18.501068,8.312889,9.651658,1.475960,-4.200574,1.850774
0.020000,12.655943,18.687175,8.506464,9.678750,1.354643,-6.065869,1.848463
0.020000,12.602819,18.873814,8.700516,9.702594,1.192160,-8.124137,1.848054
0.020000,12.549481,19.060799,8.894960,9.722193,0.979949,-10.610552,1.849621
0.020000,12.495579,19.247919,9.089689,9.736459,0.713316,-13.331640,1.853260
0.020000,12.440751,19.434930,9.284572,9.744136,0.383832,-16.474215,1.859088
0.020000,12.384620,19.621548,9.479448,9.743806,-0.016466,-20.014931,1.867247
