dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.267462,1.040000,0.000651,0.065109,3.255474,162.773702,6.282707
0.020000,0.267621,1.040000,0.000810,0.007930,-2.858997,-305.723574,6.282848
0.020000,0.267938,1.040000,0.001127,0.015861,0.396558,162.777766,6.283130
0.020000,0.275213,1.040001,0.008401,0.363720,17.392989,849.821552,0.000368
0.020000,0.286265,1.040009,0.019454,0.552614,9.444674,-397.415770,0.000932
0.020000,0.300081,1.040026,0.033269,0.690789,6.908748,-126.796298,0.001638
0.020000,0.316660,1.040060,0.049849,0.828974,6.909235,0.024368,0.002485
0.020000,0.336004,1.040118,0.069192,0.967176,6.910145,0.045487,0.003475
0.020000,0.358111,1.040207,0.091300,1.105388,6.910574,0.021452,0.004606
0.020000,0.382984,1.040338,0.116173,1.243638,6.912523,0.097470,0.005880
0.020000,0.410621,1.040520,0.143811,1.381888,6.912492,-0.001554,0.007297
0.020000,0.441023,1.040765,0.174214,1.520177,6.914428,0.096821,0.008857
0.020000,0.474191,1.041088,0.207384,1.658491,6.915686,0.062897,0.010561
0.020000,0.510126,1.041500,0.243320,1.796824,6.916656,0.048501,0.012410
0.020000,0.548826,1.042019,0.282024,1.935198,6.918734,0.103856,0.014403
0.020000,0.590293,1.042661,0.323497,2.073608,6.920494,0.087997,0.016542
0.020000,0.634527,1.043443,0.367738,2.212051,6.922152,0.082921,0.018828
0.020000,0.681528,1.044385,0.414748,2.350521,6.923499,0.067344,0.021260
0.020000,0.731297,1.045508,0.464529,2.489040,6.925921,0.121123,0.023839
0.020000,0.783832,1.046832,0.517081,2.627600,6.928014,0.104647,0.026567
0.020000,0.839134,1.048381,0.572405,2.766189,6.929445,0.071515,0.029444
0.020000,0.897203,1.050179,0.630501,2.904843,6.932729,0.164223,0.032470
0.020000,0.958038,1.052252,0.691372,3.043524,6.934047,0.065914,0.035647
0.020000,1.021639,1.054626,0.755017,3.182263,6.936951,0.145192,0.038976
0.020000,1.088005,1.057330,0.821438,3.321036,6.938654,0.085149,0.042457
0.020000,1.157134,1.060392,0.890635,3.459871,6.941711,0.152836,0.046090
0.020000,1.229026,1.063845,0.962610,3.598746,6.943785,0.103720,0.049878
0.020000,1.303680,1.067719,1.037364,3.737676,6.946496,0.135531,0.053820
0.020000,1.381092,1.072048,1.114897,3.876648,6.948589,0.104645,0.057919
0.020000,1.461260,1.076868,1.195210,4.015673,6.951222,0.131686,0.062173
0.020000,1.544183,1.082214,1.278305,4.154742,6.953484,0.113066,0.066585
0.020000,1.629857,1.088123,1.364183,4.293872,6.956488,0.150203,0.071156
0.020000,1.718278,1.094636,1.452843,4.433038,6.958314,0.091334,0.075885
0.020000,1.809443,1.101791,1.544288,4.572254,6.960786,0.123574,0.080775
0.020000,1.903346,1.109631,1.638519,4.711517,6.963142,0.117810,0.085825
0.020000,1.999984,1.118199,1.735535,4.850820,6.965181,0.101965,0.091037
0.020000,2.099349,1.127540,1.835339,4.990174,6.967658,0.123829,0.096411
0.020000,2.201436,1.137698,1.937930,5.129562,6.969422,0.088192,0.101948
0.020000,2.306238,1.148721,2.043309,5.268982,6.970996,0.078729,0.107649
0.020000,2.413746,1.160658,2.151478,5.408442,6.972980,0.099185,0.113514
0.020000,2.523952,1.173559,2.262437,5.547932,6.974534,0.077685,0.119544
0.020000,2.636847,1.187474,2.376186,5.687441,6.975423,0.044468,0.125739
0.020000,2.752419,1.202456,2.492725,5.826984,6.977180,0.087846,0.132100
0.020000,2.870658,1.218560,2.612056,5.966534,6.977499,0.015947,0.138627
0.020000,2.991552,1.235840,2.734178,6.106107,6.978612,0.055662,0.145320
0.020000,3.115086,1.254352,2.859092,6.245673,6.978332,-0.014021,0.152179
0.020000,3.241246,1.274154,2.986797,6.385248,6.978726,0.019727,0.159204
0.020000,3.370017,1.295305,3.117293,6.524815,6.978354,-0.018613,0.166396
0.020000,3.501381,1.317865,3.250580,6.664363,6.977433,-0.046056,0.173754
0.020000,3.635321,1.341894,3.386658,6.803895,6.976583,-0.042482,0.181277
0.020000,3.771816,1.367455,3.525526,6.943399,6.975173,-0.070502,0.188965
0.020000,3.910846,1.394610,3.667183,7.082860,6.973055,-0.105896,0.196818
0.020000,4.052388,1.423424,3.811629,7.222274,6.970705,-0.117539,0.204834
0.020000,4.196419,1.453961,3.958861,7.361631,6.967837,-0.143364,0.213013
0.020000,4.342914,1.486286,4.108880,7.500919,6.964419,-0.170929,0.221353
0.020000,4.491844,1.520467,4.261682,7.640131,6.960627,-0.189567,0.229852
0.020000,4.643182,1.556570,4.417267,7.779252,6.956015,-0.230614,0.238511
0.020000,4.796898,1.594663,4.575633,7.918272,6.950992,-0.251183,0.247325
0.020000,4.952960,1.634813,4.736776,8.057178,6.945338,-0.282656,0.256294
0.020000,5.111334,1.677089,4.900696,8.195959,6.939056,-0.314143,0.265415
0.020000,5.271984,1.721559,5.067388,8.334602,6.932138,-0.345867,0.274686
0.020000,5.434875,1.768292,5.236850,8.473093,6.924544,-0.379702,0.284104
0.020000,5.599966,1.817358,5.409078,8.611420,6.916361,-0.409142,0.293667
0.020000,5.767218,1.868824,5.584069,8.749569,6.907419,-0.447109,0.303370
0.020000,5.936589,1.922759,5.761820,8.887524,6.897781,-0.481889,0.313211
0.020000,6.108033,1.979231,5.942325,9.025276,6.887604,-0.508893,0.323186
0.020000,6.281505,2.038309,6.125582,9.162808,6.876571,-0.551628,0.333290
0.020000,6.456958,2.100059,6.311584,9.300108,6.864995,-0.578784,0.343521
0.020000,6.634342,2.164548,6.500327,9.437162,6.852725,-0.613537,0.353873
0.020000,6.813607,2.231842,6.691806,9.573953,6.839540,-0.659207,0.364343
0.020000,6.994699,2.302005,6.886015,9.710476,6.826158,-0.669108,0.374924
0.020000,7.177565,2.375102,7.082950,9.846711,6.811724,-0.721707,0.385612
0.020000,7.362149,2.451194,7.282603,9.982650,6.796952,-0.738629,0.396402
0.020000,7.548394,2.530343,7.484968,10.118279,6.781475,-0.773839,0.407288
0.020000,7.736242,2.612610,7.690040,10.253590,6.765535,-0.796964,0.418265
0.020000,7.925632,2.698051,7.897811,10.388566,6.748787,-0.837418,0.429326
0.020000,8.116504,2.786724,8.108275,10.523204,6.731907,-0.844027,0.440466
0.020000,8.308797,2.878683,8.321425,10.657498,6.714711,-0.859790,0.451678
0.020000,8.502446,2.973982,8.537254,10.791430,6.696581,-0.906506,0.462957
0.020000,8.697389,3.072671,8.755754,10.924998,6.678418,-0.908132,0.474294
0.020000,8.893561,3.174800,8.976918,11.058191,6.659671,-0.937358,0.485685
0.020000,9.090896,3.280414,9.200738,11.191021,6.641459,-0.910609,0.497123
0.020000,9.289329,3.389559,9.427208,11.323465,6.622240,-0.960945,0.508600
0.020000,9.488794,3.502277,9.656318,11.455533,6.603366,-0.943677,0.520109
0.020000,9.681284,3.614002,9.878882,11.128197,-16.366790,-1148.507790,0.535339
0.020000,9.927382,3.770518,10.170536,14.582683,172.724300,9454.554457,0.597854
0.020000,10.167288,3.945524,10.467490,14.847733,13.252510,-7973.589479,0.662771
0.020000,10.398434,4.138619,10.768678,15.059366,10.581652,-133.542919,0.729137
0.020000,10.618367,4.348724,11.072840,15.208120,7.437700,-157.197594,0.795834
0.020000,10.824995,4.574156,11.378642,15.290105,4.099262,-166.921900,0.861673
0.020000,11.016789,4.812792,11.684799,15.307827,0.886070,-160.659595,0.925508
0.020000,11.192888,5.062296,11.990189,15.269488,-1.916953,-140.151138,0.986343
0.020000,11.353104,5.320351,12.293935,15.187322,-4.108309,-109.567826,1.043396
0.020000,11.497834,5.584842,12.595434,15.074973,-5.617424,-75.455712,1.096131
0.020000,11.627916,5.853959,12.894341,14.945351,-6.481110,-43.184333,1.144242
0.020000,11.744485,6.126244,13.190530,14.809406,-6.797219,-15.805430,1.187616
0.020000,11.848836,6.400571,13.484033,14.675184,-6.711122,4.304841,1.226284
0.020000,11.942086,6.675352,13.774206,14.508648,-8.326795,-80.783623,1.260286
0.020000,12.025042,6.947856,14.059058,14.242563,-13.304280,-248.874281,1.289625
0.020000,12.098723,7.215701,14.336852,13.889732,-17.641532,-216.862611,1.314459
0.020000,12.164527,7.478097,14.607373,13.526064,-18.183389,-27.092823,1.335141
0.020000,12.223852,7.735011,14.871047,13.183695,-17.118457,53.246582,1.352049
0.020000,12.277911,7.986457,15.128239,12.859590,-16.205223,45.661734,1.365510
0.020000,12.327758,8.232476,15.379258,12.550925,-15.433256,38.598314,1.375798
0.020000,12.374314,8.473114,15.624358,12.255012,-14.795648,31.880421,1.383140
0.020000,12.418384,8.708412,15.863747,11.969437,-14.278786,25.843091,1.387719
0.020000,12.460682,8.938393,16.097586,11.691956,-13.874054,20.236590,1.389680
0.020000,12.501841,9.163067,16.325998,11.420631,-13.566242,15.390604,1.389133
0.020000,12.542424,9.382419,16.549072,11.153706,-13.346227,11.000780,1.386155
0.020000,12.582939,9.596409,16.766864,10.889585,-13.206037,7.009500,1.380797
0.020000,12.623838,9.804974,16.979401,10.626865,-13.136044,3.499604,1.373084
0.020000,12.665533,10.008022,17.186687,10.364270,-13.129710,0.316747,1.363018
0.020000,12.708390,10.205439,17.388701,10.100730,-13.177018,-2.365440,1.350582
0.020000,12.752736,10.397079,17.585406,9.835212,-13.275897,-4.943909,1.335741
0.020000,12.798859,10.582776,17.776745,9.566964,-13.412400,-6.825153,1.318446
0.020000,12.847011,10.762340,17.962653,9.295394,-13.578496,-8.304826,1.298640
0.020000,12.897399,10.935563,18.143056,9.020161,-13.761647,-9.157554,1.276256
0.020000,12.950192,11.102226,18.317881,8.741240,-13.946041,-9.219697,1.251230
0.020000,13.005514,11.262107,18.487063,8.459080,-14.108021,-8.098978,1.223502
0.020000,13.063445,11.414987,18.650551,8.174399,-14.234059,-6.301927,1.193030
0.020000,13.124019,11.560670,18.808325,7.888702,-14.284859,-2.539981,1.159795
0.020000,13.187232,11.698993,18.960407,7.604146,-14.227803,2.852788,1.123816
0.020000,13.253038,11.829846,19.106875,7.323384,-14.038104,9.484955,1.085162
0.020000,13.321365,11.953183,19.247874,7.049966,-13.670871,18.361669,1.043963
0.020000,13.392126,12.069042,19.383633,6.787923,-13.102152,28.435924,1.000422
0.020000,13.465228,12.177545,19.514464,6.541566,-12.317829,39.216141,0.954816
0.020000,13.540594,12.278901,19.640770,6.315272,-11.314715,50.155716,0.907503
0.020000,13.618169,12.373397,19.763029,6.112946,-10.116325,59.919520,0.858907
0.020000,13.697928,12.461376,19.881780,5.937570,-8.768785,67.376979,0.809510
0.020000,13.779876,12.543219,19.997598,5.790881,-7.334436,71.717463,0.759819
0.020000,13.864035,12.619314,20.111058,5.673007,-5.893722,72.035698,0.710348
0.020000,13.950433,12.690035,20.222709,5.582571,-4.521770,68.597595,0.661582
0.020000,14.039082,12.755721,20.333042,5.516649,-3.296120,61.282515,0.613961
0.020000,14.129966,12.816677,20.442475,5.471628,-2.251065,52.252727,0.567853
0.020000,14.223023,12.873164,20.551334,5.442954,-1.433695,40.868506,0.523549
0.020000,14.318143,12.925405,20.659856,5.426101,-0.842667,29.551385,0.481261
0.020000,14.415171,12.973600,20.768194,5.416902,-0.459940,19.136377,0.441122
0.020000,14.513903,13.017925,20.876420,5.411300,-0.280107,8.991628,0.403200
0.020000,14.614111,13.058552,20.984550,5.406507,-0.239606,2.025065,0.367504
0.020000,14.715534,13.095640,21.092541,5.399564,-0.347190,-5.379209,0.334001
0.020000,14.817905,13.129354,21.200321,5.389005,-0.527918,-9.036417,0.302624
0.020000,14.920951,13.159857,21.307787,5.373293,-0.785637,-12.885925,0.273284
0.020000,15.024407,13.187316,21.414825,5.351886,-1.070344,-14.235361,0.245873
0.020000,15.128006,13.211895,21.521300,5.323742,-1.407183,-16.841936,0.220283
0.020000,15.231511,13.233763,21.627089,5.289483,-1.712967,-15.289215,0.196396
0.020000,15.334691,13.253087,21.732063,5.248680,-2.040149,-16.359105,0.174096
0.020000,15.437331,13.270028,21.836092,5.201464,-2.360788,-16.031936,0.153273
0.020000,15.539242,13.284749,21.939061,5.148412,-2.652594,-14.590325,0.133821
0.020000,15.640242,13.297404,22.040850,5.089485,-2.946334,-14.687000,0.115638
0.020000,15.740177,13.308144,22.141361,5.025562,-3.196187,-12.492624,0.098630
0.020000,15.838897,13.317113,22.240488,4.956328,-3.461683,-13.274782,0.082711
0.020000,15.936279,13.324449,22.338146,4.882878,-3.672477,-10.539738,0.067798
0.020000,16.032205,13.330284,22.434249,4.805160,-3.885914,-10.671860,0.053818
0.020000,16.126574,13.334742,22.528723,4.723708,-4.072608,-9.334656,0.040702
0.020000,16.219284,13.337942,22.621488,4.638266,-4.272115,-9.975390,0.028388
0.020000,16.316880,13.340317,22.719113,4.881247,12.149069,821.059245,0.024543
0.020000,16.423398,13.343180,22.825670,5.327829,22.329079,509.000457,0.029114
0.020000,16.526507,13.346387,22.928829,5.157940,-8.494415,-1541.174661,0.032980
0.020000,16.626260,13.349843,23.028641,4.990621,-8.365970,6.422210,0.036187
0.020000,16.722708,13.353464,23.125157,4.825811,-8.240484,6.274317,0.038779
0.020000,16.815903,13.357178,23.218426,4.663448,-8.118170,6.115679,0.040799
0.020000,16.905894,13.360922,23.308495,4.503464,-7.999169,5.950085,0.042290
0.020000,16.992730,13.364643,23.395411,4.345793,-7.883563,5.780267,0.043294
0.020000,17.076458,13.368296,23.479219,4.190365,-7.771398,5.608247,0.043848
0.020000,17.157122,13.371844,23.559961,4.037111,-7.662690,5.435408,0.043994
0.020000,17.234767,13.375256,23.637680,3.885963,-7.557438,5.262635,0.043767
0.020000,17.309433,13.378507,23.712417,3.736850,-7.455629,5.090428,0.043205
0.020000,17.381161,13.381579,23.784211,3.589705,-7.357248,4.919050,0.042341
0.020000,17.449990,13.384458,23.853100,3.444460,-7.262277,4.748542,0.041211
0.020000,17.515957,13.387134,23.919121,3.301046,-7.170701,4.578788,0.039846
0.020000,17.579097,13.389603,23.982309,3.159395,-7.082508,4.409677,0.038277
0.020000,17.639443,13.391863,24.042698,3.019442,-6.997689,4.240944,0.036536
0.020000,17.697029,13.393914,24.100320,2.881117,-6.916241,4.072424,0.034650
0.020000,17.751885,13.395762,24.155207,2.744354,-6.838163,3.903877,0.032648
0.020000,17.804040,13.397411,24.207389,2.609084,-6.763460,3.735160,0.030557
0.020000,17.853524,13.398871,24.256894,2.475242,-6.692137,3.566116,0.028401
0.020000,17.900361,13.400151,24.303749,2.342758,-6.624204,3.396674,0.026204
0.020000,17.944579,13.401261,24.347980,2.211564,-6.559669,3.226754,0.023990
0.020000,17.986200,13.402214,24.389612,2.081593,-6.498541,3.056406,0.021781
0.020000,18.025247,13.403023,24.428668,1.952777,-6.440830,2.885548,0.019597
0.020000,18.061742,13.403699,24.465169,1.825046,-6.386542,2.714405,0.017457
0.020000,18.095704,13.404257,24.499135,1.698332,-6.335684,2.542907,0.015379
0.020000,18.127152,13.404709,24.530587,1.572567,-6.288258,2.371291,0.013380
0.020000,18.156103,13.405069,24.559540,1.447682,-6.244268,2.199474,0.011477
0.020000,18.182574,13.405350,24.586013,1.323607,-6.203713,2.027766,0.009682
0.020000,18.206578,13.405562,24.610018,1.200276,-6.166589,1.856202,0.008010
0.020000,18.228130,13.405718,24.631570,1.077618,-6.132894,1.684728,0.006472
0.020000,18.247241,13.405829,24.650682,0.955565,-6.102620,1.513702,0.005080
0.020000,18.263922,13.405903,24.667363,0.834050,-6.075762,1.342909,0.003842
0.020000,18.278182,13.405950,24.681623,0.713004,-6.052307,1.172773,0.002767
0.020000,18.290029,13.405978,24.693470,0.592359,-6.032254,1.002610,0.001863
0.020000,18.299470,13.405992,24.702911,0.472047,-6.015589,0.833261,0.001134
0.020000,18.306510,13.405998,24.709951,0.352001,-6.002308,0.664069,0.000587
0.020000,18.311153,13.406000,24.714594,0.232153,-5.992410,0.494887,0.000223
0.020000,18.313438,13.406000,24.716879,0.114240,-5.895636,4.838698,0.000044
0.020000,18.314000,13.406000,24.717441,0.028106,-4.306717,79.445964,0.000000
0.020000,18.314000,13.406000,24.717441,0.000000,-1.405285,145.071590,0.000000
